,,,,,,,,,
 discoverymethod,Discovery Method, discoverymethod,Discovery Method,pl_discmethod,Discovery Method,fpl_discmethod,Discovery Method,mpl_discmethod,Discovery Method
 disc_year,Discovery Year, disc_year,Discovery Year,pl_disc,Discovery Year,fpl_disc,Discovery Year,mpl_disc,Discovery Year
 disc_refname,Discovery Reference, disc_refname,Discovery Reference,pl_disc_reflink,Discovery Reference,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_pubdate,Discovery Publication Date, disc_pubdate,Discovery Publication Date,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_locale,Discovery Locale, disc_locale,Discovery Locale,pl_locale,Discovery Locale,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_facility,Discovery Facility, disc_facility,Discovery Facility,pl_facility,Discovery Facility,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_telescope,Discovery Telescope, disc_telescope,Discovery Telescope,pl_telescope,Discovery Telescope,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 disc_instrument,Discovery Instrument, disc_instrument,Discovery Instrument,pl_instrument,Discovery Instrument,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 rv_flag,Detected by Radial Velocity Variations, rv_flag,Detected by Radial Velocity Variations,pl_rvflag,Detected by Radial Velocity Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,mpl_rvflag,Detected by Radial Velocity Variations
 pul_flag,Detected by Pulsar Timing Variations, pul_flag,Detected by Pulsar Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 ptv_flag,Detected by Pulsation Timing Variations, ptv_flag,Detected by Pulsation Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 tran_flag,Detected by Transits, tran_flag,Detected by Transits,pl_tranflag,Detected by Transits,fpl_tranflag,Detected by Transits,mpl_tranflag,Detected by Transits
 ast_flag,Detected by Astrometric Variations, ast_flag,Detected by Astrometric Variations,pl_astflag,Detected by Astrometric Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 obm_flag,Detected by Orbital Brightness Modulations, obm_flag,Detected by Orbital Brightness Modulations,pl_omflag,Detected by Orbital Brightness Modulations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 micro_flag,Detected by Microlensing, micro_flag,Detected by Microlensing,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 etv_flag,Detected by Eclipse Timing Variations, etv_flag,Detected by Eclipse Timing Variations,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 ima_flag,Detected by Imaging, ima_flag,Detected by Imaging,pl_imgflag,Detected by Imaging,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 dkin_flag,Detected by Disk Kinematics, dkin_flag,Detected by Disk Kinematics,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 soltype,Solution Type,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_controv_flag,Controversial Flag, pl_controv_flag,Controversial Flag,pl_controvflag,Controversial Flag,fpl_controvflag,Controversial Flag,N/A,BOTH PLANETARY SYSTEMS AND PS_COMPOSITE TABLES
 pl_refname,Planetary Parameter Reference,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_orbper,Orbital Period [days], pl_orbper,Orbital Period [days],pl_orbper,Orbital Period [days],fpl_orbper,Orbital Period [days],mpl_orbper,Orbital Period [days]
 pl_orbpererr1,Orbital Period Upper Unc. [days], pl_orbpererr1,Orbital Period Upper Unc. [days],pl_orbpererr1,Orbital Period Upper Unc. [days],fpl_orbpererr1,Orbital Period Upper Unc. [days],mpl_orbpererr1,Orbital Period Upper Unc. [days]
 pl_orbpererr2,Orbital Period Lower Unc. [days], pl_orbpererr2,Orbital Period Lower Unc. [days],pl_orbpererr2,Orbital Period Lower Unc. [days],fpl_orbpererr2,Orbital Period Lower Unc. [days],mpl_orbpererr2,Orbital Period Lower Unc. [days]
 pl_orbperlim,Orbital Period Limit Flag, pl_orbperlim,Orbital Period Limit Flag,pl_orbperlim,Orbital Period Limit Flag,fpl_orbperlim,Orbital Period Limit Flag,mpl_orbperlim,Orbital Period Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_orbper_reflink,Orbital Period Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_orbperreflink,Orbital Period Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_orbsmax,Orbit Semi-Major Axis [au]), pl_orbsmax,Orbit Semi-Major Axis [au]),pl_orbsmax,Orbit Semi-Major Axis [au]),fpl_smax,Orbit Semi-Major Axis [au]),mpl_orbsmax,Orbit Semi-Major Axis [au])
 pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au], pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],pl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au],fpl_smaxerr1,Orbit Semi-Major Axis Upper Unc. [au],mpl_orbsmaxerr1,Orbit Semi-Major Axis Upper Unc. [au]
 pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au], pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],pl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au],fpl_smaxerr2,Orbit Semi-Major Axis Lower Unc. [au],mpl_orbsmaxerr2,Orbit Semi-Major Axis Lower Unc. [au]
 pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag, pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,pl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag,fpl_smaxlim,Orbit Semi-Major Axis Limit Flag,mpl_orbsmaxlim,Orbit Semi-Major Axis Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_orbsmax_reflink,Orbit Semi-Major Axis Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_smaxreflink,Orbit Semi-Major Axis Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_rade,Planet Radius [Earth Radius], pl_rade,Planet Radius [Earth Radius],pl_rade,Planet Radius [Earth Radius],fpl_rade,Planet Radius [Earth Radius],mpl_rade,Planet Radius [Earth Radius]
 pl_radeerr1,Planet Radius Upper Unc. [Earth Radius], pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],pl_radeerr1,Planet Radius Upper Unc. [Earth Radius],fpl_radeerr1,Planet Radius Upper Unc. [Earth Radius],mpl_radeerr1,Planet Radius Upper Unc. [Earth Radius]
 pl_radeerr2,Planet Radius Lower Unc. [Earth Radius], pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],pl_radeerr2,Planet Radius Lower Unc. [Earth Radius],fpl_radeerr2,Planet Radius Lower Unc. [Earth Radius],mpl_radeerr2,Planet Radius Lower Unc. [Earth Radius]
 pl_radelim,Planet Radius Limit Flag, pl_radelim,Planet Radius Limit Flag,pl_radelim,Planet Radius Limit Flag,fpl_radelim,Planet Radius Limit Flag,mpl_radelim,Planet Radius Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_rade_reflink,Planet Radius Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_radreflink,Planet Radius Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_radj,Planet Radius [Jupiter Radius], pl_radj,Planet Radius [Jupiter Radius],pl_radj,Planet Radius [Jupiter Radius],fpl_radj,Planet Radius [Jupiter Radius],mpl_radj,Planet Radius [Jupiter Radius]
 pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius], pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],pl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],fpl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius],mpl_radjerr1,Planet Radius Upper Unc. [Jupiter Radius]
 pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius], pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],pl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],fpl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius],mpl_radjerr2,Planet Radius Lower Unc. [Jupiter Radius]
 pl_radjlim,Planet Radius Limit Flag, pl_radjlim,Planet Radius Limit Flag,pl_radjlim,Planet Radius Limit Flag,fpl_radjlim,Planet Radius Limit Flag,mpl_radjlim,Planet Radius Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_radj_reflink,Planet Radius Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_radreflink,Planet Radius Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_masse,Planet Mass [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,pl_masse,Planet Mass [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,mpl_masse,Planet Mass [Earth Mass]
 pl_masseerr1,Planet Mass [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_masseerr1,Planet Mass [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_masse,Planet Mass [Earth Mass] Upper Unc.
 pl_masseerr2,Planet Mass [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_masseerr2,Planet Mass [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_masse,Planet Mass [Earth Mass] Lower Unc.
 pl_masselim,Planet Mass [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,pl_masselim,Planet Mass [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,mpl_masse,Planet Mass [Earth Mass] Limit Flag
 pl_massj,Planet Mass [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,pl_massj,Planet Mass [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,mpl_massj,Planet Mass [Jupiter Mass]
 pl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_massjerr1,Planet Mass [Jupiter Mass] Upper Unc.
 pl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_massjerr2,Planet Mass [Jupiter Mass] Lower Unc.
 pl_massjlim,Planet Mass [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,pl_massjlim,Planet Mass [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,mpl_massjlim,Planet Mass [Jupiter Mass] Limit Flag
 pl_msinie,Planet Mass*sin(i) [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,pl_msinie,Planet Mass*sin(i) [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,mpl_msinie,Planet Mass*sin(i) [Earth Mass]
 pl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_msinieerr1,Planet Mass*sin(i) [Earth Mass] Upper Unc.
 pl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_msinieerr2,Planet Mass*sin(i) [Earth Mass] Lower Unc.
 pl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,pl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,mpl_msinielim,Planet Mass*sin(i) [Earth Mass] Limit Flag
 pl_msinij,Planet Mass*sin(i) [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,pl_msinij,Planet Mass*sin(i) [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,mpl_msinij,Planet Mass*sin(i) [Jupiter Mass]
 pl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_msinijerr1,Planet Mass*sin(i) [Jupiter Mass] Upper Unc.
 pl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,pl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,mpl_msinijerr2,Planet Mass*sin(i) [Jupiter Mass] Lower Unc.
 pl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,pl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,mpl_msinijlim,Planet Mass*sin(i) [Jupiter Mass] Limit Flag
 pl_cmasse,Planet Mass*sin(i)/sin(i) [Earth Mass],N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmasseerr1,Planet Mass*sin(i)/sin(i) [Earth Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmasseerr2,Planet Mass*sin(i)/sin(i) [Earth Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmasselim,Planet Mass*sin(i)/sin(i) [Earth Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmassj,Planet Mass*sin(i)/sin(i) [Jupiter Mass],N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmassjerr1,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Upper Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmassjerr2,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Lower Unc.,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_cmassjlim,Planet Mass*sin(i)/sin(i) [Jupiter Mass] Limit Flag,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY,N/A,PLANETARY SYSTEMS ONLY
 pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass], pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],fpl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],mpl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass]
 pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc., pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,pl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,fpl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,mpl_bmasseerr1,Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
 pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc., pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,pl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,fpl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,mpl_bmasseerr2,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
 pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag, pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,fpl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,mpl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_bmasse_reflink,Planet Mass or Mass*sin(i) [Earth Mass] Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_bmassreflink,Planet Mass or Mass*sin(i) [Earth Mass] Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass], pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],fpl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],mpl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass]
 pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc., pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,pl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,fpl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,mpl_bmassjerr1,Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
 pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc., pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,pl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,fpl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,mpl_bmassjerr2,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
 pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag, pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,fpl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,mpl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_bmassj_reflink,Planet Mass or Mass*sin(i) [Jupiter Mass] Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_bmassreflink,Planet Mass or Mass*sin(i) [Jupiter Mass] Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_bmassprov,Planet Mass or Mass*sin(i) Provenance, pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,pl_bmassprov,Planet Mass or Mass*sin(i) Provenance,fpl_bmassprov,Planet Mass or Mass*sin(i) Provenance,mpl_bmassprov,Planet Mass or Mass*sin(i) Provenance
 pl_dens,Planet Density [g/cm**3], pl_dens,Planet Density [g/cm**3],pl_dens,Planet Density [g/cm**3],fpl_dens,Planet Density [g/cm**3],mpl_dens,Planet Density [g/cm**3]
 pl_denserr1,Planet Density Upper Unc. [g/cm**3], pl_denserr1,Planet Density Upper Unc. [g/cm**3],pl_denserr1,Planet Density Upper Unc. [g/cm**3],fpl_denserr1,Planet Density Upper Unc. [g/cm**3],mpl_denserr1,Planet Density Upper Unc. [g/cm**3]
 pl_denserr2,Planet Density Lower Unc. [g/cm**3], pl_denserr2,Planet Density Lower Unc. [g/cm**3],pl_denserr2,Planet Density Lower Unc. [g/cm**3],fpl_denserr2,Planet Density Lower Unc. [g/cm**3],mpl_denserr2,Planet Density Lower Unc. [g/cm**3]
 pl_denslim,Planet Density Limit Flag, pl_denslim,Planet Density Limit Flag,pl_denslim,Planet Density Limit Flag,fpl_denslim,Planet Density Limit Flag,mpl_denslim,Planet Density Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_dens_reflink,Planet Density Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_densreflink,Planet Density Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_orbeccen,Eccentricity, pl_orbeccen,Eccentricity,pl_orbeccen,Eccentricity,fpl_eccen,Eccentricity,mpl_orbeccen,Eccentricity
 pl_orbeccenerr1,Eccentricity Upper Unc., pl_orbeccenerr1,Eccentricity Upper Unc.,pl_orbeccenerr1,Eccentricity Upper Unc.,fpl_eccenerr1,Eccentricity Upper Unc.,mpl_orbeccenerr1,Eccentricity Upper Unc.
 pl_orbeccenerr2,Eccentricity Lower Unc., pl_orbeccenerr2,Eccentricity Lower Unc.,pl_orbeccenerr2,Eccentricity Lower Unc.,fpl_eccenerr2,Eccentricity Lower Unc.,mpl_orbeccenerr2,Eccentricity Lower Unc.
 pl_orbeccenlim,Eccentricity Limit Flag, pl_orbeccenlim,Eccentricity Limit Flag,pl_orbeccenlim,Eccentricity Limit Flag,fpl_eccenlim,Eccentricity Limit Flag,mpl_orbeccenlim,Eccentricity Limit Flag
N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY, pl_orbeccen_reflink,Eccentricity Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY,fpl_eccenreflink,Eccentricity Reference,N/A,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
 pl_insol,Insolation Flux [Earth Flux], pl_insol,Insolation Flux [Earth Flux],pl_insol,Insolation Flux [Earth Flux],fpl_insol,Insolation Flux [Earth Flux],mpl_insol,Insolation Flux [Earth Flux]
 pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux], pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],pl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],fpl_insolerr1,Insolation Flux Upper Unc. [Earth Flux],mpl_insolerr1,Insolation Flux Upper Unc. [Earth Flux]
 pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux], pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],pl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],fpl_insolerr2,Insolation Flux Lower Unc. [Earth Flux],mpl_insolerr2,Insolation Flux Lower Unc. [Earth Flux]
 pl_insollim,Insolation Flux Limit Flag, pl_insollim,Insolation Flux Limit Flag,pl_insollim,Insolation Flux Limit Flag,fpl_insollim,Insolation Flux Limit Flag,mpl_insollim,Insolation Flux Limit Flag
